Path,Parent,Name,Kind,SizeBytes,LastWriteUtc,CreatedUtc,Category,Action,SuggestedAction,PlannedDestination,PlanAction,RuleMatched,IsHidden,IsSystem,IsOneDrivePlaceholder,Sha1,Notes,MIMEType,DuplicateGroup,ExifDate,ClusterId
C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Downloads,C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree,Downloads,Directory,0,2026-08-27T19:14:02Z,2026-08-27T19:14:02Z,Other,group,,,,,False,False,False,,,,,,
C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Downloads\old-backup.zip,C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Downloads,old-backup.zip,File,304,2026-08-27T19:14:02Z,2026-08-27T19:14:02Z,Archive,group,,,,Archive,False,False,False,,,application/zip,,,
C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Downloads\scratch.tmp,C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Downloads,scratch.tmp,File,7,2026-08-27T19:14:02Z,2026-08-27T19:14:02Z,Junk,quarantine,,,,Junk,False,False,False,,,application/octet-stream,,,
C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Downloads\session.bak,C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Downloads,session.bak,File,6,2026-08-27T19:14:02Z,2026-08-27T19:14:02Z,Junk,quarantine,,,,Junk,False,False,False,,,application/octet-stream,,,
C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Other,C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree,Other,Directory,0,2026-08-27T19:14:02Z,2026-08-27T19:14:02Z,Other,group,,,,,False,False,False,,,,,,
C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Other\rust-tool,C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Other,rust-tool,Directory,0,2026-08-27T19:14:02Z,2026-08-27T19:14:02Z,Other,group,,,,,False,False,False,,,,,,
C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Other\rust-tool\Cargo.lock,C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Other\rust-tool,Cargo.lock,File,13,2026-08-27T19:14:02Z,2026-08-27T19:14:02Z,HeavyCache,keep,,,,HeavyCache,False,False,False,,,application/octet-stream,,,
C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Other\rust-tool\Cargo.toml,C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Other\rust-tool,Cargo.toml,File,21,2026-08-27T19:14:02Z,2026-08-27T19:14:02Z,HeavyCache,keep,,,,HeavyCache,False,False,False,,,application/octet-stream,,,
C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Pictures,C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree,Pictures,Directory,0,2026-08-27T19:14:02Z,2026-08-27T19:14:02Z,Other,group,,,,,False,False,False,,,,,,
C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Pictures\screenshot-2.png,C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Pictures,screenshot-2.png,File,68,2026-08-27T19:14:02Z,2026-08-27T19:14:02Z,Image,group,,,,Image,False,False,False,,,image/png,,,
C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Pictures\screenshot.png,C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Pictures,screenshot.png,File,68,2026-08-27T19:14:02Z,2026-08-27T19:14:02Z,Image,group,,,,Image,False,False,False,,,image/png,,,
C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Projects,C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree,Projects,Directory,0,2026-08-27T19:14:02Z,2026-08-27T19:14:02Z,Other,group,,,,,False,False,False,,,,,,
C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Projects\demo-app,C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Projects,demo-app,Directory,4096,2026-08-27T19:14:02Z,2026-08-27T19:14:02Z,Other,group,,,,,False,False,False,,,,,,
C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Projects\demo-app\package-lock.json,C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Projects\demo-app,package-lock.json,File,21,2026-08-27T19:14:02Z,2026-08-27T19:14:02Z,HeavyCache,keep,,,,HeavyCache,False,False,False,,,application/json,,,
C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Projects\demo-app\package.json,C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Projects\demo-app,package.json,File,37,2026-08-27T19:14:02Z,2026-08-27T19:14:02Z,HeavyCache,keep,,,,HeavyCache,False,False,False,,,application/json,,,
C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Projects\demo-app\README.md,C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Projects\demo-app,README.md,File,12,2026-08-27T19:14:02Z,2026-08-27T19:14:02Z,Document,group,,,,Document,False,False,False,,,application/octet-stream,,,
C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Projects\demo-app\.git,C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Projects\demo-app,.git,Directory,0,2026-08-27T19:14:02Z,2026-08-27T19:14:02Z,HeavyCache,keep,,,,HeavyCache,True,False,False,,,,,,
C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Projects\demo-app\.git\HEAD,C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Projects\demo-app\.git,HEAD,File,22,2026-08-27T19:14:02Z,2026-08-27T19:14:02Z,Other,group,,,,,False,False,False,,,application/octet-stream,,,
C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Projects\demo-app\build,C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Projects\demo-app,build,Directory,0,2026-08-27T19:14:02Z,2026-08-27T19:14:02Z,HeavyCache,keep,,,,HeavyCache,False,False,False,,,,,,
C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Projects\demo-app\build\app.zip,C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Projects\demo-app\build,app.zip,File,204,2026-08-27T19:14:02Z,2026-08-27T19:14:02Z,Archive,group,,,,Archive,False,False,False,,,application/zip,,,
C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Projects\demo-app\logs,C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Projects\demo-app,logs,Directory,0,2026-08-27T19:14:02Z,2026-08-27T19:14:02Z,HeavyCache,keep,,,,HeavyCache,False,False,False,,,,,,
C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Projects\demo-app\logs\service.log,C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Projects\demo-app\logs,service.log,File,1400,2026-08-27T19:14:02Z,2026-08-27T19:14:02Z,Junk,quarantine,,,,Junk,False,False,False,,,application/octet-stream,,,
C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Projects\demo-app\node_modules,C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Projects\demo-app,node_modules,Directory,0,2026-08-27T19:14:02Z,2026-08-27T19:14:02Z,HeavyCache,keep,,,,HeavyCache,False,False,False,,,,,,
C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Projects\demo-app\node_modules\leftpad,C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Projects\demo-app\node_modules,leftpad,Directory,0,2026-08-27T19:14:02Z,2026-08-27T19:14:02Z,Other,group,,,,,False,False,False,,,,,,
C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Projects\demo-app\node_modules\leftpad\index.js,C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Projects\demo-app\node_modules\leftpad,index.js,File,9,2026-08-27T19:14:02Z,2026-08-27T19:14:02Z,Other,group,,,,,False,False,False,,,application/octet-stream,,,
C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Projects\demo-app\src,C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Projects\demo-app,src,Directory,0,2026-08-27T19:14:02Z,2026-08-27T19:14:02Z,HeavyCache,keep,,,,HeavyCache,False,False,False,,,,,,
C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Projects\demo-app\src\index.js,C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Projects\demo-app\src,index.js,File,19,2026-08-27T19:14:02Z,2026-08-27T19:14:02Z,Other,group,,,,,False,False,False,,,application/octet-stream,,,
C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Projects\demo-app\src\index.test.js,C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Projects\demo-app\src,index.test.js,File,21,2026-08-27T19:14:02Z,2026-08-27T19:14:02Z,Other,group,,,,,False,False,False,,,application/octet-stream,,,
C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Projects\demo-app\tmp,C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Projects\demo-app,tmp,Directory,0,2026-08-27T19:14:02Z,2026-08-27T19:14:02Z,HeavyCache,keep,,,,HeavyCache,False,False,False,,,,,,
C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Projects\demo-app\tmp\leftover.tmp,C:\Users\oaak2\Documents\PowerShell\DiskInventory\spec\fixtures\synthetic-tree\Projects\demo-app\tmp,leftover.tmp,File,7,2026-08-27T19:14:02Z,2026-08-27T19:14:02Z,Junk,quarantine,,,,Junk,False,False,False,,,application/octet-stream,,,
